Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
86,60,64,delicious.com,2,54.200.220.123,us,2016-04-11,2018-09-26
86,62,69,about.com,1,207.241.148.82,us,2017-07-02,2018-10-07
86,61,68,buzzfeed.com,586,151.101.34.112,us,2014-11-17,2018-11-22
86,61,67,independent.co.uk,99,151.101.33.184,us,2016-12-04,2018-11-21
86,61,67,berkeley.edu,425,35.185.15.143,us,2017-04-06,2018-11-21
86,65,71,ibm.com,104,23.0.52.155,us,2017-05-03,2018-11-21
86,63,70,wikia.com,988,151.101.128.194,us,2017-04-24,2018-11-22
86,65,72,businessinsider.com,647,151.101.32.64,us,2013-10-09,2018-11-21
86,65,68,behance.net,77,151.101.1.197,us,2016-09-15,2018-11-21
86,68,75,constantcontact.com,1208,96.17.170.18,us,2013-12-09,2018-11-22
86,58,64,change.org,27,104.16.5.13,us,2016-09-04,2018-11-21
86,63,66,uol.com.br,2274,200.221.64.39,br,2016-10-21,2018-11-22
86,68,72,php.net,2,69.195.222.219,us,2017-11-30,2018-10-29
86,64,70,springer.com,5,151.101.200.95,us,2018-06-06,2018-11-20
86,61,68,foxnews.com,93,23.34.78.94,us,2015-01-27,2018-11-21
86,60,62,blogspot.de,12,172.217.7.193,us,2017-09-05,2018-11-08
86,57,58,altervista.org,28627,104.31.86.213,us,2017-04-02,2018-11-22
86,63,70,cbsnews.com,107,104.68.98.139,us,2016-04-03,2018-11-21
86,63,60,sakura.ne.jp,1163,49.212.235.147,jp,2016-12-19,2018-11-22
86,63,69,who.int,2,158.232.12.119,ch,2018-06-02,2018-11-20
86,64,70,un.org,6,157.150.185.69,us,2018-09-04,2018-11-20
86,57,61,ning.com,530,208.82.16.68,us,2017-04-05,2018-11-21
86,63,69,bbc.com,92,151.101.200.81,us,2013-06-08,2018-11-22
86,65,71,time.com,192,54.230.19.28,us,2017-02-22,2018-11-21
86,63,64,rakuten.co.jp,11,133.237.16.130,jp,2017-09-11,2018-11-21
86,60,67,nature.com,17,199.168.13.95,us,2013-12-22,2018-11-21
86,60,67,noaa.gov,9,192.111.123.140,us,2017-09-24,2018-11-21
86,64,70,meetup.com,87,151.101.202.110,us,2017-05-18,2018-11-21
86,65,71,cnet.com,1579,23.46.61.37,us,2016-08-13,2018-11-22
86,62,69,kickstarter.com,1290,151.101.250.202,us,2016-04-02,2018-11-22
86,69,74,wired.com,415,151.101.202.194,us,2015-02-22,2018-11-21
86,60,67,loc.gov,133,140.147.55.47,us,2017-11-02,2018-11-22
85,63,69,theatlantic.com,120,192.33.31.162,us,2016-04-11,2018-11-21
85,68,73,stackoverflow.com,22,151.101.1.69,us,2016-10-31,2018-11-20
