Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
87,62,68,ted.com,375,192.0.79.32,us,2015-02-03,2018-11-22
87,60,62,webs.com,413,104.16.89.120,us,2017-04-24,2018-11-21
87,64,70,stanford.edu,1474,171.67.216.245,us,2015-02-22,2018-11-22
87,66,69,google.ca,2,173.194.216.113,us,2018-11-10,2018-11-18
87,73,74,automattic.com,7,66.155.40.237,ca,2016-12-20,2018-11-17
87,73,64,istockphoto.com,3,134.213.133.162,gb,2018-01-05,2018-11-17
87,61,65,goodreads.com,82,52.94.237.126,us,2016-08-24,2018-11-21
87,69,74,usatoday.com,210,192.0.79.33,us,2016-09-09,2018-11-21
87,62,70,npr.org,372,23.35.97.30,us,2013-10-09,2018-11-22
87,69,73,gnu.org,26,208.118.235.17,us,2017-01-02,2018-11-19
87,64,67,bandcamp.com,12,192.0.78.12,us,2018-10-03,2018-11-21
87,67,66,google.es,9,74.125.31.100,us,2018-09-18,2018-11-21
87,62,61,bloglovin.com,7,104.20.17.237,us,2017-04-28,2018-11-21
87,64,58,sogou.com,1,118.191.216.57,cn,2018-10-23,2018-11-19
87,62,66,blogspot.co.uk,85,216.58.217.129,us,2017-01-11,2018-10-29
87,65,72,bloomberg.com,140,151.101.33.73,us,2013-07-15,2018-11-21
87,63,70,imgur.com,101,151.101.20.193,us,2016-09-09,2018-11-21
87,78,82,github.io,8591,151.101.201.147,us,2014-10-02,2018-11-22
87,66,68,google.fr,2,74.125.141.94,us,2018-03-09,2018-11-15
87,66,71,rambler.ru,2,81.19.86.31,ru,2018-05-05,2018-10-30
86,64,72,ca.gov,36,167.10.5.72,us,2017-09-28,2018-11-18
86,60,57,ifeng.com,1,157.185.172.21,us,2018-11-20,2018-11-20
86,62,69,about.com,3,207.241.148.82,us,2017-04-27,2018-10-07
86,61,68,buzzfeed.com,1415,151.101.34.112,us,2015-02-08,2018-11-22
86,61,67,independent.co.uk,103,151.101.33.184,us,2016-09-16,2018-11-22
86,61,67,berkeley.edu,11205,128.32.189.168,us,2017-04-23,2018-11-22
86,65,71,ibm.com,40,23.13.146.140,us,2017-04-30,2018-11-20
86,63,70,wikia.com,16040,151.101.0.194,us,2017-03-31,2018-11-22
86,65,72,businessinsider.com,1938,151.101.32.64,us,2013-06-28,2018-11-22
